price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,parkingSpace,priceByArea,floor,hasLift
311000,flat,sale,92.0,2.0,2.0,Málaga,Cruz de Humilladero,Polígonos - Recinto Ferial,36.70739,-4.4876877,newdevelopment,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3380.0,2,1.0
4408000,flat,sale,625.0,4.0,5.0,Málaga,Carretera de Cádiz,Pacífico,36.6849443,-4.4465818,newdevelopment,True,,7053.0,20,1.0
347000,flat,sale,92.0,2.0,2.0,Málaga,Cruz de Humilladero,Polígonos - Recinto Ferial,36.70739,-4.4876877,newdevelopment,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3772.0,4,1.0
333000,flat,sale,119.0,3.0,2.0,Málaga,Cruz de Humilladero,Polígonos - Recinto Ferial,36.70739,-4.4876877,newdevelopment,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2798.0,,1.0
495000,flat,sale,80.0,2.0,2.0,Málaga,Centro,La Goleta - San Felipe Neri,36.724048,-4.4254242999999995,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6188.0,4,1.0
649000,flat,sale,177.0,4.0,3.0,Málaga,Este,Malagueta - Monte Sancha,36.7196987,-4.4083659,renew,False,,3667.0,2,1.0
659000,flat,sale,177.0,4.0,3.0,Málaga,Este,Malagueta - Monte Sancha,36.7196987,-4.4083659,renew,False,,3723.0,2,1.0
295000,flat,sale,66.0,3.0,1.0,Málaga,Centro,Cristo de la Epidemia,36.7287765,-4.416325,good,False,,4470.0,2,1.0
254000,flat,sale,80.0,3.0,1.0,Málaga,Carretera de Cádiz,La Luz,36.6950348,-4.453209,good,False,,3175.0,4,1.0
298000,flat,sale,91.0,4.0,2.0,Málaga,Centro,La Trinidad,36.7231678,-4.4278515,good,False,,3275.0,4,1.0
1745000,chalet,sale,612.0,8.0,5.0,Málaga,Este,El Palo,36.7273684,-4.3530876,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2851.0,,
735000,flat,sale,114.0,2.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.681168,-4.4505815,newdevelopment,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6447.0,bj,1.0
725000,flat,sale,127.0,3.0,3.0,Málaga,Carretera de Cádiz,Pacífico,36.6816188,-4.4477968,newdevelopment,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5709.0,3,1.0
345000,flat,sale,96.0,3.0,2.0,Málaga,Centro,La Trinidad,36.7284065,-4.4298531,good,False,,3594.0,9,1.0
550000,flat,sale,100.0,3.0,2.0,Málaga,Centro,Ensanche Centro - Soho,36.7156338,-4.4226543,good,False,,5500.0,1,1.0
299000,flat,sale,91.0,3.0,1.0,Málaga,Centro,Cristo de la Epidemia,36.7290998,-4.4153362,good,False,,3286.0,4,1.0
389000,flat,sale,84.0,2.0,2.0,Málaga,Centro,Perchel sur - El Bulto,36.7110328,-4.4309435,good,False,,4631.0,2,1.0
323000,flat,sale,111.0,2.0,2.0,Málaga,Centro,El Molinillo - Capuchinos,36.729194,-4.4201779,good,False,,2910.0,3,1.0
330000,flat,sale,90.0,3.0,1.0,Málaga,Centro,Cristo de la Epidemia,36.7305795,-4.4147654,good,False,,3667.0,10,1.0
210000,flat,sale,53.0,2.0,1.0,Málaga,Bailén - Miraflores,La Florida - Parque norte,36.7238713,-4.4415341999999995,good,False,,3962.0,2,1.0
