price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
1400,1,1,120.0,2.0,1.0,0,2,4,36.7192197,-4.4230223,0,0,12.0,3.0,0.0,0,0
1200,1,1,57.0,1.0,1.0,0,2,4,36.7180576,-4.4216135,0,0,21.0,3.0,1.0,0,0
1425,1,1,76.0,2.0,1.0,0,2,4,36.7217287,-4.4209744,0,0,19.0,4.0,1.0,0,0
1000,1,1,47.0,1.0,1.0,0,1,38,36.6914368,-4.4562671,0,0,21.0,4.0,1.0,1,1
1150,1,1,32.0,1.0,1.0,0,2,30,36.7298663,-4.4218924,0,0,36.0,1.0,0.0,0,0
1000,1,1,47.0,1.0,1.0,0,1,38,36.6911642,-4.4585612,0,0,21.0,4.0,1.0,1,1
1500,4,1,73.0,3.0,2.0,0,2,22,36.7201938,-4.4306547,0,0,21.0,0.0,0.0,0,0
1200,1,1,51.0,1.0,1.0,0,2,16,36.7238214,-4.4203114,0,0,24.0,2.0,1.0,1,0
900,1,1,40.0,1.0,1.0,0,2,43,36.726317,-4.4135611,0,0,23.0,2.0,1.0,0,0
1900,1,1,120.0,3.0,2.0,0,1,19,36.6960587,-4.4394333,0,0,16.0,1.0,1.0,1,1
950,1,1,55.0,1.0,1.0,0,0,26,36.7219136,-4.3565182,0,0,17.0,0.0,1.0,0,0
2000,1,1,58.0,1.0,1.0,0,2,14,36.7160442,-4.4238045,0,0,34.0,2.0,1.0,0,0
1200,1,1,80.0,3.0,1.0,0,6,44,36.7181274,-4.4645919,0,0,15.0,4.0,1.0,0,0
1950,4,1,140.0,3.0,2.0,0,2,4,36.7195456,-4.4188318,0,0,14.0,5.0,1.0,1,0
1595,1,1,120.0,2.0,2.0,0,1,19,36.6941962,-4.4404567,0,0,13.0,4.0,1.0,0,0
3600,1,1,100.0,3.0,2.0,0,5,11,36.7303553,-4.4268255,0,0,36.0,4.0,1.0,0,0
2000,1,1,58.0,1.0,1.0,0,2,14,36.716368,-4.4237866,0,0,34.0,1.0,1.0,0,0
1645,1,1,62.0,2.0,2.0,0,2,22,36.7203538,-4.4317035,0,0,27.0,0.0,1.0,1,1
2000,1,1,58.0,1.0,1.0,0,2,14,36.7169212,-4.4209276,0,0,34.0,3.0,1.0,0,0
2000,1,1,58.0,1.0,1.0,0,2,14,36.7156289,-4.4223855,0,0,34.0,3.0,1.0,0,0
1190,1,1,67.0,3.0,1.0,0,3,20,36.7162151,-4.4478566,0,0,18.0,1.0,0.0,0,0
1600,1,1,83.0,2.0,2.0,0,2,14,36.7149154,-4.4239363,0,0,19.0,2.0,1.0,0,0
830,1,1,39.0,1.0,1.0,0,2,4,36.7239226,-4.4239253,0,0,21.0,0.0,1.0,0,0
1395,1,1,104.0,1.0,1.0,0,5,11,36.7301639,-4.4264678,0,0,13.0,22.0,1.0,1,1
1300,1,1,65.0,2.0,1.0,0,7,24,36.7271033,-4.4368717,0,0,20.0,2.0,1.0,0,0
