price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,detailedType,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
590000,chalet,sale,293.0,3.0,3.0,Fuengirola,Torreblanca,Torreblanca,36.5722226,-4.6007957,newdevelopment,True,2014.0,terracedHouse,0.0,0,True,True
523500,flat,sale,153.0,2.0,2.0,Marbella,Nueva Andalucía,Nueva Andalucía,36.4933365,-4.9636626,good,False,3422.0,flat,0.0,0,False,False
770000,penthouse,sale,141.0,3.0,3.0,Estepona,Playa Bahía Dorada,Bahía Dorada,36.4045812,-5.193169,good,False,5461.0,penthouse,2.0,0,True,True
750000,flat,sale,149.0,3.0,3.0,Casares,Bahía de Casares,La Perla de Bahía,36.3805176,-5.2122302,good,False,5034.0,flat,1.0,0,True,True
299000,flat,sale,91.0,3.0,1.0,Málaga,Centro,Cristo de la Epidemia,36.7288771,-4.4153052,good,False,3286.0,flat,4.0,0,False,False
315000,flat,sale,80.0,3.0,2.0,Fuengirola,Centro Ciudad,Centro Ciudad,36.5411982,-4.6265057,good,False,3938.0,flat,7.0,1,False,False
350000,flat,sale,80.0,2.0,2.0,Benalmádena,Solymar - Puerto Marina,Solymar - Puerto Marina,36.5986043,-4.5162035,good,False,4375.0,flat,4.0,0,False,False
319000,flat,sale,101.0,2.0,2.0,Manilva,El Castillo,Urbanización Los Hidalgos,36.3496618,-5.2372806,good,False,3158.0,flat,0.0,0,False,False
266000,flat,sale,49.0,2.0,1.0,Málaga,Centro,Olletas - Sierra Blanquilla,36.7352507,-4.4162675,good,False,5429.0,flat,8.0,1,False,False
260000,flat,sale,47.0,3.0,1.0,Torremolinos,Centro,Calvario,36.6201697,-4.5031054,good,False,5532.0,flat,2.0,0,False,False
345000,flat,sale,110.0,3.0,2.0,Benalmádena,Solymar - Puerto Marina,Solymar - Puerto Marina,36.5992252,-4.5166149,good,False,3136.0,flat,2.0,0,True,True
265000,flat,sale,66.0,2.0,1.0,Málaga,Centro,El Molinillo - Capuchinos,36.7282845,-4.4212361,good,False,4015.0,flat,2.0,0,False,False
280000,flat,sale,75.0,3.0,1.0,Málaga,Carretera de Cádiz,Vistafranca,36.6963616,-4.4514259,good,False,3733.0,flat,2.0,0,False,False
240000,flat,sale,70.0,2.0,1.0,Fuengirola,Centro Ciudad,Centro Ciudad,36.5443471,-4.6296002,good,False,3429.0,flat,2.0,0,False,False
374000,flat,sale,117.0,3.0,2.0,Fuengirola,Centro Ciudad,Centro Ciudad,36.5398626,-4.6269951,good,False,3197.0,flat,1.0,0,True,True
210000,flat,sale,53.0,2.0,1.0,Fuengirola,Los Pacos,Los Pacos,36.5600309,-4.6161331,good,False,3962.0,flat,1.0,0,False,False
349000,flat,sale,50.0,2.0,1.0,Fuengirola,Zona Puerto Deportivo,Zona Puerto Deportivo,36.5415477,-4.6201284000000005,good,False,6980.0,flat,4.0,0,False,False
345000,flat,sale,96.0,3.0,2.0,Málaga,Centro,La Trinidad,36.7247037,-4.4287069,good,False,3594.0,flat,9.0,1,False,False
260000,flat,sale,64.0,2.0,2.0,Fuengirola,Centro Ciudad,Centro Ciudad,36.5380946,-4.6274466,good,False,4063.0,flat,1.0,0,False,False
269000,flat,sale,87.0,2.0,2.0,Mijas,Hipódromo-Cerrado del Águila,Hipódromo-Cerrado del Águila,36.5262368,-4.6560036,newdevelopment,True,3092.0,flat,0.0,1,True,True
364000,flat,sale,112.0,3.0,2.0,Mijas,Hipódromo-Cerrado del Águila,Hipódromo-Cerrado del Águila,36.5262368,-4.6560036,newdevelopment,True,3250.0,flat,3.0,1,True,True
325000,flat,sale,83.0,2.0,2.0,Torremolinos,Centro,Calvario,36.6217949,-4.5032469,newdevelopment,True,3916.0,flat,1.0,1,True,True
299000,flat,sale,94.0,2.0,2.0,Mijas,Hipódromo-Cerrado del Águila,Hipódromo-Cerrado del Águila,36.5262368,-4.6560036,newdevelopment,True,3181.0,flat,0.0,1,True,True
199000,flat,sale,77.0,3.0,1.0,Marbella,Elviria-Cabopino,Santa María,36.495485,-4.7798766,renew,False,2584.0,flat,1.0,0,False,False
384000,penthouse,sale,132.0,3.0,2.0,Mijas,Riviera del Sol,Riviera del Sol,36.5117686,-4.7159268,good,False,2909.0,penthouse,4.0,0,True,True
