propertyCode,price,priceInfo,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace
106909051,330000,€,flat,sale,90.0,3.0,1.0,Málaga,Málaga,Centro,es,Cristo de la Epidemia,36.7305795,-4.4147654,good,False,3667.0,10,1.0,False
107291687,210000,€,flat,sale,53.0,2.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,La Florida - Parque norte,36.7238713,-4.4415342,good,False,3962.0,2,1.0,False
107872990,180000,€,flat,sale,83.0,3.0,1.0,Málaga,Málaga,Centro,es,Conde de Ureña,36.7318662,-4.4119327,good,False,2169.0,4,0.0,False
107859933,109000,€,flat,sale,58.0,2.0,1.0,Málaga,Málaga,Ciudad Jardín,es,Ciudad Jardín,36.7418629,-4.4236269,good,False,1879.0,3,1.0,False
108076868,360000,€,penthouse,sale,168.0,2.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Santa Cristina - San Rafael,36.7108451,-4.4541232,good,False,2143.0,6,1.0,False
103347414,380000,€,flat,sale,86.0,3.0,1.0,Málaga,Málaga,Centro,es,La Goleta - San Felipe Neri,36.7268764,-4.4246148,good,False,4419.0,4,1.0,False
106333598,220000,€,flat,sale,56.0,2.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Suárez,36.7262109,-4.437018,good,False,3929.0,7,1.0,False
105235136,499900,€,flat,sale,111.0,3.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7199032,-4.4070999,renew,False,4504.0,bj,1.0,True
107801024,217600,€,flat,sale,62.0,1.0,1.0,Málaga,Málaga,Centro,es,La Trinidad,36.7228901,-4.4302347,good,False,3510.0,1,1.0,False
107999456,1868000,€,chalet,sale,505.0,6.0,5.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7318428,-4.378884,good,False,3699.0,0,0.0,True
107970301,339000,€,flat,sale,125.0,3.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Cruz del Humilladero - Los Tilos,36.7116776,-4.4359107,good,False,2712.0,0,1.0,True
107676600,319990,€,flat,sale,91.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Puerta Blanca - Almudena,36.6910515,-4.4550303,good,False,3516.0,14,1.0,False
107856584,780000,€,flat,sale,116.0,2.0,2.0,Málaga,Málaga,Este,es,Parque Clavero,36.7263349,-4.3877513,good,False,6724.0,3,0.0,False
104544411,1650000,€,chalet,sale,330.0,5.0,4.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7303562,-4.3860641,good,False,5000.0,0,0.0,True
106174695,2300000,€,chalet,sale,487.0,5.0,4.0,Málaga,Málaga,Este,es,Pinares de San Antón,36.7378573,-4.3582572,good,False,4723.0,0,0.0,False
107988800,139000,€,flat,sale,55.0,2.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Suárez,36.7267306,-4.4435792,renew,False,2527.0,5,0.0,False
106130137,785000,€,flat,sale,127.0,3.0,2.0,Málaga,Málaga,Este,es,Limonar,36.73697,-4.39279,newdevelopment,True,6181.0,bj,1.0,True
108043386,200000,€,flat,sale,46.0,1.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.7194903,-4.4462273,good,False,4348.0,1,1.0,False
107993473,240000,€,flat,sale,73.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,La Luz,36.6933459,-4.451108,good,False,3288.0,8,1.0,False
107997874,320000,€,flat,sale,98.0,2.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.7210987,-4.4476015,good,False,3265.0,3,1.0,False
107733105,450000,€,flat,sale,95.0,3.0,2.0,Málaga,Málaga,Teatinos,es,El Consul - El Romeral,36.7224715,-4.4700929,good,False,4737.0,2,1.0,True
107835775,1190000,€,chalet,sale,258.0,5.0,3.0,Málaga,Málaga,Este,es,El Candado,36.7212062,-4.3475412,good,False,4612.0,0,0.0,True
108014406,275000,€,flat,sale,80.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,El Torcal,36.7011645,-4.4473038,good,False,3438.0,5,1.0,False
107264561,198000,€,flat,sale,44.0,2.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.7212523,-4.4350924,good,False,4500.0,bj,0.0,False
107872851,169000,€,flat,sale,52.0,1.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Victoria Eugenia,36.7279463,-4.4356882,good,False,3250.0,2,1.0,False
107528442,125000,€,studio,sale,41.0,0.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Victoria Eugenia,36.732575,-4.4393639,good,False,3049.0,bj,0.0,False
107999405,890000,€,penthouse,sale,122.0,1.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7194762,-4.4230834,good,False,7295.0,4,1.0,False
107674195,440000,€,flat,sale,89.0,2.0,2.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7157645,-4.4306234,good,False,4944.0,1,1.0,True
98502409,1500000,€,flat,sale,120.0,3.0,3.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7209197,-4.4218626,good,False,12500.0,3,1.0,False
102987861,475000,€,flat,sale,89.0,2.0,2.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7106065,-4.4340905,good,False,5337.0,6,1.0,True
108064380,300000,€,flat,sale,120.0,4.0,1.0,Málaga,Málaga,Este,es,El Palo,36.719676,-4.3541654,good,False,2500.0,bj,1.0,False
108042524,435000,€,flat,sale,80.0,2.0,2.0,Málaga,Málaga,Centro,es,Cristo de la Epidemia,36.7283925,-4.4139504,good,False,5438.0,6,1.0,False
107729063,2500000,€,flat,sale,236.0,2.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6902275,-4.4420718,good,False,10593.0,0,1.0,True
107875059,1595000,€,flat,sale,190.0,2.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7182585,-4.4177937,good,False,8395.0,2,1.0,False
106845195,430000,€,flat,sale,92.0,3.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Puerta Blanca - Almudena,36.6880804,-4.4562866,good,False,4674.0,2,1.0,True
107248380,1400000,€,chalet,sale,338.0,5.0,3.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7299847,-4.3845032,good,False,4142.0,0,0.0,True
107975452,1190000,€,chalet,sale,258.0,5.0,3.0,Málaga,Málaga,Este,es,El Candado,36.7169015,-4.3408416,good,False,4612.0,0,0.0,True
106025777,1868500,€,chalet,sale,477.0,6.0,5.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7320016,-4.3814996,good,False,3917.0,0,0.0,True
108049426,690000,€,flat,sale,130.0,3.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7194064,-4.40803,renew,False,5308.0,9,1.0,True
107893499,200000,€,flat,sale,67.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Girón - Las Delicias - Pacífico,36.7005568,-4.441566,good,False,2985.0,3,0.0,False
107488934,900000,€,penthouse,sale,100.0,2.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7213293,-4.4240061,good,False,9000.0,4,1.0,True
107421102,530000,€,flat,sale,81.0,3.0,2.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7293855,-4.4275794,good,False,6543.0,0,1.0,True
105857946,333000,€,flat,sale,74.0,2.0,1.0,Málaga,Málaga,Centro,es,El Ejido,36.7259554,-4.4204964,good,False,4500.0,1,1.0,True
107792303,950000,€,flat,sale,231.0,5.0,2.0,Málaga,Málaga,Este,es,El Palo,36.7266182,-4.3496089,good,False,4113.0,5,1.0,True
107673760,880000,€,chalet,sale,242.0,4.0,3.0,Málaga,Málaga,Este,es,Pedregalejo - Morlaco,36.7284451,-4.3699705,good,False,3636.0,0,0.0,True
106991768,1100000,€,duplex,sale,294.0,4.0,2.0,Málaga,Málaga,Teatinos,es,El Tejar - Hacienda Bizcochero,36.7160305,-4.4655567,good,False,3741.0,13,1.0,True
106384263,1312700,€,chalet,sale,271.0,6.0,4.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7238008,-4.4053531,good,False,4844.0,0,0.0,True
106530835,1050000,€,flat,sale,201.0,3.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7193671,-4.4191132,renew,False,5224.0,3,1.0,False
107898044,269900,€,flat,sale,79.0,3.0,1.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.7268923,-4.4238964,good,False,3416.0,1,1.0,False
107840918,1225000,€,flat,sale,134.0,4.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7192415,-4.4070567,good,False,9142.0,10,1.0,True
107022062,1395000,€,penthouse,sale,184.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7168942,-4.4221979,good,False,7582.0,5,1.0,True
103645596,675000,€,flat,sale,97.0,2.0,2.0,Málaga,Málaga,Centro,es,La Goleta - San Felipe Neri,36.7208553,-4.4250449,good,False,6959.0,2,0.0,False
108048392,1100000,€,chalet,sale,174.0,4.0,2.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7307946,-4.3803359,good,False,6322.0,0,0.0,False
107664196,950000,€,flat,sale,191.0,5.0,3.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7166403,-4.4319438,renew,False,4974.0,8,1.0,True
107894706,850000,€,flat,sale,149.0,3.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7203998,-4.4247725,good,False,5705.0,2,1.0,True
106810748,2272000,€,flat,sale,316.0,3.0,3.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6836123,-4.4462693,good,False,7190.0,10,1.0,True
107831649,650000,€,chalet,sale,219.0,6.0,3.0,Málaga,Málaga,Teatinos,es,El Consul - El Romeral,36.722801,-4.4700583,good,False,2968.0,0,0.0,True
107896833,1950000,€,flat,sale,200.0,3.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7202049,-4.4101662,good,False,9750.0,3,1.0,False
107393027,339000,€,flat,sale,99.0,3.0,2.0,Málaga,Málaga,Centro,es,La Trinidad,36.7245671,-4.4309865,good,False,3424.0,4,1.0,False
107474618,370000,€,chalet,sale,137.0,2.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Victoria Eugenia,36.7276337,-4.4347557,good,False,2701.0,0,0.0,False
107915141,260000,€,flat,sale,52.0,1.0,1.0,Málaga,Málaga,Centro,es,La Trinidad,36.7224627,-4.4287832,good,False,5000.0,2,1.0,True
107877045,230000,€,flat,sale,54.0,2.0,1.0,Málaga,Málaga,Centro,es,La Trinidad,36.7248187,-4.4301613,good,False,4259.0,bj,1.0,False
105661647,650000,€,flat,sale,117.0,3.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7172928,-4.4078956,renew,False,5556.0,0,1.0,True
105471297,1099000,€,duplex,sale,268.0,4.0,3.0,Málaga,Málaga,Teatinos,es,El Tejar - Hacienda Bizcochero,36.7208709,-4.464302,good,False,4101.0,7,1.0,True
104758994,1590000,€,chalet,sale,370.0,6.0,4.0,Málaga,Málaga,Este,es,Pedregalejo - Morlaco,36.7246286,-4.3709866,renew,False,4297.0,0,0.0,True
