propertyCode,price,priceInfo,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace
107572976,1500,€/mes,flat,rent,80.0,2.0,2.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.7168226,-4.4227836,good,False,19.0,3,1.0,False
107030744,1299,€/mes,flat,rent,45.0,1.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Huelin,36.7092387,-4.4330892,good,False,29.0,bj,0.0,False
106990739,1800,€/mes,chalet,rent,80.0,2.0,2.0,Málaga,Málaga,Este,es,Pedregalejo - Morlaco,36.725494,-4.3729956,good,False,23.0,0,0.0,False
107112359,1399,€/mes,flat,rent,72.0,1.0,1.0,Málaga,Málaga,Centro,es,La Victoria,36.7248614,-4.4158578,good,False,19.0,2,0.0,False
96253424,1299,€/mes,flat,rent,40.0,1.0,1.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7132947,-4.4273872,good,False,32.0,bj,0.0,False
106664932,1399,€/mes,flat,rent,79.0,2.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Camino de Antequera,36.7228699,-4.4514634,good,False,18.0,2,1.0,True
91866856,1350,€/mes,flat,rent,82.0,1.0,1.0,Málaga,Málaga,Centro,es,Perchel norte,36.7201239,-4.4283801,good,False,16.0,1,1.0,False
91231286,1199,€/mes,duplex,rent,40.0,0.0,1.0,Málaga,Málaga,Este,es,Pedregalejo - Morlaco,36.7211332,-4.3726029,good,False,30.0,1,0.0,False
108054094,2650,€/mes,flat,rent,80.0,1.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6897276,-4.4429229,good,False,33.0,5,1.0,True
107293249,1890,€/mes,flat,rent,60.0,1.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7214523,-4.4216011,good,False,32.0,3,1.0,False
100327971,999,€/mes,duplex,rent,45.0,0.0,1.0,Málaga,Málaga,Centro,es,La Victoria,36.724802,-4.4142068,good,False,22.0,bj,0.0,False
108052330,1450,€/mes,flat,rent,115.0,4.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Huelin,36.7060096,-4.4377969,good,False,13.0,5,1.0,False
106524437,1000,€/mes,flat,rent,35.0,1.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.720315,-4.4221593,good,False,29.0,4,1.0,False
107957532,1600,€/mes,flat,rent,80.0,2.0,2.0,Málaga,Málaga,Centro,es,Perchel norte,36.7206133,-4.4312265,good,False,20.0,5,1.0,True
108033050,2450,€/mes,flat,rent,110.0,3.0,1.0,Málaga,Málaga,Centro,es,La Merced,36.7260774,-4.4185615,good,False,22.0,4,1.0,False
107854845,2295,€/mes,flat,rent,95.0,2.0,1.0,Málaga,Málaga,Centro,es,La Goleta - San Felipe Neri,36.7256018,-4.4210022,good,False,24.0,bj,1.0,False
